candidate,sentiment,subject_matter,tweet_text,tweet_created
No candidate mentioned,Negative,FOX News or Moderators,Thank GOD @FOXTV IS LETTING ME WATCH IT LIVE NOW instead of just watching Twitter! (I will never thank God for FOX again) #GOPDebates,8/6/15 21:03
No candidate mentioned,Neutral,None of the above,RT @jasmine_elyse: Lmbo shoutout to Twitter. Yall even make #GOPDebates interesting,8/6/15 21:03
No candidate mentioned,Neutral,None of the above,@jeetzradio it's all about #GOPDebates tonight.,8/6/15 21:03
Donald Trump,Negative,None of the above,RT @DemocracyMatrz: Did Trump just admit to buying influence while at the same time declaring the need for campaign finance reform??? #GOPD_ _,8/6/15 21:03
Ben Carson,Negative,None of the above,RT @averykayla: No no you're talking about the Republican Party silly @BenCarson2016 #GOPDebates #DebateWithBernie,8/6/15 21:03
Jeb Bush,Negative,None of the above,Jeb is trying to blink the question away. #GOPDebates,8/6/15 21:03
No candidate mentioned,Negative,None of the above,It's all fun and games until that somber moment where you realize one of these clowns could actually be the next president #GOPDebates,8/6/15 21:03
Chris Christie,Negative,None of the above,RT @RWSurferGirl: Breaking: Brian Williams just handed Chris Christie a donut to calm him down. ________ #GOPDebate #GOPDebates,8/6/15 21:03
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:03
Ben Carson,Neutral,None of the above,RT @JimmyJames38: Dayum! Carson just kicked that question in its throat. #GOPDebates,8/6/15 21:03
Ben Carson,Negative,LGBT issues,RT @tmservo433: Ben Carson: If I was trying to destroy the country I would divide the people. Now lets talk about my anti-lgbt pro war plan_ _,8/6/15 21:03
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
Ben Carson,Negative,None of the above,Does ANYONE think #BenCarson could repeat that strange #answer?! #Sheesh! #GOPDebate #GOPDebates,8/6/15 21:03
Ben Carson,Negative,None of the above,"The irony.. ""Ben Carson on Hillary: ""She counts on the fact that people are uninformed...taking advantage of useful idiots."" #GOPDebates",8/6/15 21:03
John Kasich,Positive,None of the above,RT @bphill77: Do you believe in miracles?? I do! Kasich came to win. #GOPDebates,8/6/15 21:03
No candidate mentioned,Positive,None of the above,Lets face it - this debate is really about #HillaryClinton. #GOPDebates #GOPDebate,8/6/15 21:03
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
Donald Trump,Positive,None of the above,RT @tammy_pence: I'm ONLY watching the #GOPDebates because of #DonaldTrump. He says what we have all been thinking for years. It's time for_ _,8/6/15 21:03
Chris Christie,Negative,None of the above,RT @RWSurferGirl: .@GovChristie Just got his ass served to him by @RandPaul ________ #GOPDebates  #GOPDebates,8/6/15 21:03
Ted Cruz,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:03
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
Ben Carson,Negative,LGBT issues,Ben Carson: If I was trying to destroy the country I would divide the people. Now lets talk about my anti-lgbt pro war plan #GOPdebates,8/6/15 21:03
John Kasich,Positive,None of the above,RT @msgoddessrises: #Kasich is killing it! Easily crossover candidate grabbing the center. #GOPDebates,8/6/15 21:03
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
No candidate mentioned,Negative,None of the above,"RT @jjday10: God, I wish @nerdist was moderating these debates so he could just yell out ""POINTS!"" when they say something ridiculous. #GOP_ _",8/6/15 21:03
Donald Trump,Positive,None of the above,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
Jeb Bush,Negative,None of the above,RT @jaret2113: I'll bet George W. can drink Jeb under the table...like embarrassingly!!!!! #gopdebates,8/6/15 21:03
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:03
Ben Carson,Positive,None of the above,Dayum! Carson just kicked that question in its throat. #GOPDebates,8/6/15 21:03
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. #GOPDebate #GOPDeb_ _,8/6/15 21:03
Ben Carson,Negative,Jobs and Economy,"Carson says ""Epitome of the secular progressive movement"" like it's negative...also, your front runner trashes Rosie O'Donnell #GOPdebates",8/6/15 21:03
Jeb Bush,Negative,Healthcare (including Medicare),"Hey Jeb Bush, you have nothing to replace ObamaCare with and you give us a break, you fu***ng Asshole. #GopDebates",8/6/15 21:04
No candidate mentioned,Neutral,None of the above,Raised right __ê— #GOPDebates http://t.co/KJjluCqBqr,8/6/15 21:04
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:04
No candidate mentioned,Negative,None of the above,Dr. are you seriously saying that Hillary Clinton is trying to destroy America ? That's ridiculous &amp; and shame on your lies #GOPDebates,8/6/15 21:04
Ben Carson,Negative,None of the above,"RT @SupermanHotMale: Dear Dr. Ben Carson, you, Sir need a labotomy #GopDebates",8/6/15 21:04
No candidate mentioned,Neutral,None of the above,Looks like the show Survivor taking place in a Brooks Brothers store. #GOPDebates,8/6/15 21:04
Ben Carson,Positive,None of the above,#GOPDebates Smartest answers in the room tonight are coming from Dr. Carson,8/6/15 21:04
Donald Trump,Neutral,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:04
No candidate mentioned,Negative,None of the above,"#GOPDebates AKA ""Why Hilary Clinton sucks""",8/6/15 21:04
Ben Carson,Negative,None of the above,#GOPDebates Stop the secular progressive movement! #Carson2016 #ClownCar,8/6/15 21:04
Chris Christie,Negative,None of the above,RT @RWSurferGirl: Breaking: Brian Williams just handed Chris Christie a donut to calm him down. ________ #GOPDebate #GOPDebates,8/6/15 21:04
No candidate mentioned,Negative,None of the above,"RT @monaeltahawy: #WhereRWomen I'm in #Cairo, where I often rail vs misogyny in politics. And here are men, men, men #GOPDebates http://t.c_ _",8/6/15 21:04
Jeb Bush,Negative,None of the above,Jeb bush who??__—___—___—___—___—_. #gopdebates,8/6/15 21:04
Jeb Bush,Negative,None of the above,"So, George W got the Texas accent and Jeb got that stammering one? #GOPDebates",8/6/15 21:04
No candidate mentioned,Negative,Women's Issues (not abortion though),"RT @AnnemarieWeers: @PoetinPoeville Did you know there are aprx 700 laws governing women's bodies and not one governing men's? It's true.
#_ _",8/6/15 21:04
Donald Trump,Neutral,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:04
No candidate mentioned,Negative,Jobs and Economy,None of these candidates seem to realize the IRS doesn't make the tax laws. They just collect the money. #GOPDebates,8/6/15 21:04
Rand Paul,Negative,None of the above,RT @ccabrera83: Rand Paul is Christie's jealous boyfriend. 'You can go hug him if you want' lol #GOPDebates #FoxDebate #GOPTBT,8/6/15 21:04
Ben Carson,Positive,None of the above,"Fairly confident after #bencarson's last answer, he's playing the #gopdebates drinking game along with the rest of us.",8/6/15 21:04
Ted Cruz,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:04
Ted Cruz,Negative,None of the above,"RT @TeaPainUSA: While Ted Cruz is speaking, all over America parents are tryin' to convince their 5 year olds that vampires aren't real. #G_ _",8/6/15 21:04
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:04
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:04
No candidate mentioned,Neutral,FOX News or Moderators,I feel that Universal is trying to tell me something by airing that Steve Jobs TV spot. #GOPDebates,8/6/15 21:04
Jeb Bush,Negative,None of the above,"Jeb Bush said it perfectly ""Hillary, *scoffs* give me a break"" 
#GOPDebates",8/6/15 21:04
Ben Carson,Negative,None of the above,"RT @SupermanHotMale: Dear Dr. Ben Carson, you, Sir need a labotomy #GopDebates",8/6/15 21:04
Rand Paul,Negative,None of the above,RT @ccabrera83: Rand Paul is Christie's jealous boyfriend. 'You can go hug him if you want' lol #GOPDebates #FoxDebate #GOPTBT,8/6/15 21:04
Donald Trump,Neutral,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:04
Donald Trump,Positive,None of the above,Trump wants to form The Night's Watch! A big wall with a fancy door! Yassssss! #GOPDebates #Trump #Republicandebate #JonSnow #GOT7,8/6/15 21:04
No candidate mentioned,Negative,None of the above,One topic the #GOPDebates won't touch tonight: police brutality in the U.S.  Keep slingin' that mud on Hillary fellas,8/6/15 21:04
Donald Trump,Positive,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:04
Jeb Bush,Negative,None of the above,"It sounds like Jeb was provided his questions before the debate. ""This has happened 27 times"" like a reflex.  #GOPdebates",8/6/15 21:04
Donald Trump,Positive,None of the above,You tell em @realDonaldTrump ________ #GOPDebates,8/6/15 21:04
No candidate mentioned,Negative,Women's Issues (not abortion though),"RT @monaeltahawy: #WhereRWomen I'm in #Cairo, where I often rail vs misogyny in politics. And here are men, men, men #GOPDebates http://t.c_ _",8/6/15 21:04
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:04
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:04
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:04
Ben Carson,Positive,None of the above,"Carson is very witty, articulate and not too unlikable. Deserves much better poll ratings, but won't make it past New Hampshire #GOPDebates",8/6/15 21:04
Jeb Bush,Neutral,None of the above,".@JebBush - ""Hillary Clinton can't even say if she supports the Keystone XL Pipeline, give me a break!"" #GOPDebates",8/6/15 21:04
No candidate mentioned,Negative,None of the above,"Me ""you watching the debates?"" Dad ""no...."" Me ""it's on the TV?"" Even my dad doesn't want to watch #GOPDebates with me",8/6/15 21:04
No candidate mentioned,Negative,Racial issues,"RT @AnnemarieWeers: #RickSantorum actually said this in my State of Iowa
 
#GOPDebates http://t.co/0q5QR8Jm2W",8/6/15 21:04
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:04
Jeb Bush,Negative,None of the above,"Jeb looks like his grandfather, Aleister.
#GOPDebates #FoxDebate",8/6/15 21:04
Rand Paul,Negative,None of the above,RT @pst_II: Rand Paul comes across as the bad guy in a John Hughes film. #GOPDebates https://t.co/OODBonYfa9,8/6/15 21:04
Donald Trump,Negative,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:04
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:04
No candidate mentioned,Negative,None of the above,And the word of the night Alan is: Stupid. #GOPDebates,8/6/15 21:04
Jeb Bush,Negative,None of the above,Bush says Obama didn't fix his brothers mess well enough.  #GOPDebates,8/6/15 21:04
Donald Trump,Negative,None of the above,RT @kwrcrow: @realDonaldTrump hits it out of park on @FoxNews gotcha question on campaign donations. #GOPDebates,8/6/15 21:04
No candidate mentioned,Neutral,FOX News or Moderators,"Do they have Aaron Schock hidden behind a curtain ringing that little bell? 
#GOPDebates",8/6/15 21:04
Ben Carson,Negative,None of the above,"Not only is Carson disqualified, I'm not sure I'd go to him if I had a brain tumor #GOPDebates",8/6/15 21:04
No candidate mentioned,Neutral,None of the above,Watching the #debate and waiting for Ashton to run onto the stage.  #GOPDebates,8/6/15 21:05
No candidate mentioned,Neutral,None of the above,So is he! #GopDebates  https://t.co/mrXsqH8UyK,8/6/15 21:05
Jeb Bush,Negative,None of the above,Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:05
Ben Carson,Positive,None of the above,RT @kwrcrow: #DrBenCarson just said he doubts #HillaryClinton will be nominee. Hope he's right. #GOPDebates,8/6/15 21:05
No candidate mentioned,Neutral,None of the above,"#LatinosListen #GOPDebates Good questions, but early",8/6/15 21:05
Rand Paul,Neutral,None of the above,I'm voting for Rand Paul's sassy eye rolling for president. #GOPDebates,8/6/15 21:05
No candidate mentioned,Negative,None of the above,Ah... I feel as if I'm going to be white shamed tomorrow. @pattonoswalt @kevin_nealon @CyrusMMcQueen #GOPDebates,8/6/15 21:05
Donald Trump,Neutral,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:05
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:05
Donald Trump,Neutral,None of the above,RT @ericstonestreet: Trump has Cam hands. #GOPDebates,8/6/15 21:05
Scott Walker,Negative,FOX News or Moderators,REAL PEOPLE LIVE IN THOSE COUNTIES GOVERNOR WALKER. #privatesectorArlington #GOPDebates,8/6/15 21:05
No candidate mentioned,Negative,None of the above,RT @hbludman: They'd rather talk about @HillaryClinton than debate the issues. Somewhere Hillary is laughing. #GOPDebates,8/6/15 21:05
Donald Trump,Positive,None of the above,When Donald Trump calls out Rosie ODonald __‰Ç__è___—_ #GOPdebates,8/6/15 21:05
No candidate mentioned,Neutral,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:05
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:05
Ben Carson,Negative,None of the above,RT @kwrcrow: #DrBenCarson just said he doubts #HillaryClinton will be nominee. Hope he's right. #GOPDebates,8/6/15 21:05
John Kasich,Negative,None of the above,Kasich is like.....i don't live up to my promises...but people vote for me!  And I am not Barack Obama. #GOPDebates,8/6/15 21:05
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:05
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:05
Ted Cruz,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:05
No candidate mentioned,Negative,None of the above,"Koch puppet speaking exactly what he's told to say. ""Well done David! ""Well done Charles!"" #GOPDebates",8/6/15 21:05
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:05
No candidate mentioned,Neutral,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:05
No candidate mentioned,Negative,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:05
No candidate mentioned,Neutral,None of the above,"I would actually think none of my friends were dumb enough to risk severe alcohol poisoning 
#GOPDebates #FoxDebate #GOPDrinkingGame",8/6/15 21:05
No candidate mentioned,Neutral,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:05
Mike Huckabee,Negative,None of the above,"RT @tonibirdsong: ""It's time we recognize that The Supreme Court is not the Supreme Being."" - @GovMikeHuckabee #GOPDebates / ________",8/6/15 21:05
Scott Walker,Negative,None of the above,Scott Walker. You're also kinda creepy. Cartoon character creepy. It won't happen. @GOP #GOPDebate #GOPDebate2016 #GOPDebates,8/6/15 21:05
Ted Cruz,Neutral,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:05
Jeb Bush,Negative,None of the above,"MAKE INSURANCE GO AWAY AND THEN DO SOME OTHER DIFFERENT THING
#JebBush 
#GOPDebates",8/6/15 21:05
No candidate mentioned,Negative,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:05
Ted Cruz,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:05
Ted Cruz,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:05
Donald Trump,Positive,None of the above,Bring back #DonaldTrump ! I'm bored now! #GOPDebate #GOPDebates,8/6/15 21:05
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:05
No candidate mentioned,Positive,None of the above,These #GOPDebates questions are really good,8/6/15 21:05
No candidate mentioned,Neutral,None of the above,You are now promising free pizza every Friday and no homework ever again! #GOPDebates,8/6/15 21:05
Jeb Bush,Negative,Jobs and Economy,"Jebby talking changing tax code to fix ""job killers"".  Is that Jebspeak for give corporations more tax breaks?   #GOPDebates",8/6/15 21:05
No candidate mentioned,Negative,None of the above,This show sucks. I'm going to read a book. #GOPDebates,8/6/15 21:05
No candidate mentioned,Neutral,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:05
Ted Cruz,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:05
Mike Huckabee,Positive,None of the above,"""It's time we recognize that The Supreme Court is not the Supreme Being."" - @GovMikeHuckabee #GOPDebates / ________",8/6/15 21:05
Jeb Bush,Negative,FOX News or Moderators,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. ________ #GOPDebates  #GOPDebates,8/6/15 21:05
Ben Carson,Positive,None of the above,RT @kwrcrow: #DrBenCarson just said he doubts #HillaryClinton will be nominee. Hope he's right. #GOPDebates,8/6/15 21:05
Donald Trump,Negative,FOX News or Moderators,"RT @RWSurferGirl: I am wondering what Fox is up to with THIS debate -- get rid of Trump, Paul, Cruz, Carson? ________ #GOPDebates  #GOPDebate",8/6/15 21:05
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:05
No candidate mentioned,Negative,Immigration,Our present immigration system is a job driver Jebya. #GOPDebates,8/6/15 21:05
No candidate mentioned,Negative,None of the above,"-Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:05
Ted Cruz,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:05
Ben Carson,Positive,None of the above,It's no coincidence he is a neurosurgeon! This guy sure has a brain on him! #BenCarson #GOPDdebate #GOPDebates,8/6/15 21:05
John Kasich,Negative,None of the above,RT @jesslstoner: KASICH'S DAD WAS A MAILMAN BUT HE HATES UNIONS. Which have protected letter carriers for decades. #gopdebates,8/6/15 21:06
No candidate mentioned,Negative,Women's Issues (not abortion though),RT @mozgovaya: 10 men on stage discussing one woman. @HillaryClinton #GOPdebates,8/6/15 21:06
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:06
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:06
No candidate mentioned,Negative,Women's Issues (not abortion though),RT @AnisaLiban: #GOPDebates proved that Women in the US are more likely to be assaulted by men (verbally &amp; physically) than any kind of 'te_ _,8/6/15 21:06
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:06
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:06
No candidate mentioned,Negative,Healthcare (including Medicare),Repeal #ObamaCare seems to be a theme here #GOPDebates,8/6/15 21:06
Jeb Bush,Negative,None of the above,Hey did Jeb just push Keystone? Not gonna be popular in fracking states. #GOPDebates #likeweneedmoreoil,8/6/15 21:06
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:06
No candidate mentioned,Neutral,None of the above,It's ok Joe.  Rick Perry is watching the #GOPDebates the same way right now. http://t.co/bnXbsOAmsh,8/6/15 21:06
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:06
No candidate mentioned,Negative,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:06
Donald Trump,Neutral,None of the above,I'd be interested to see responses to what people would be willing to do #IfTrumpPaidYou #GOPDebates,8/6/15 21:06
Jeb Bush,Neutral,None of the above,Asking about entitlement reform. Might be talking about Bush and Clinton. #GOPdebates,8/6/15 21:06
Donald Trump,Positive,None of the above,"RT @RWSurferGirl: I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio, ________ #GOPDebate  #G_ _",8/6/15 21:06
Scott Walker,Negative,None of the above,"Correct me if I'm wrong, but Scott Walker was pretty much universally hated in Wisconsin after he was elected, right? #GOPDebates",8/6/15 21:06
No candidate mentioned,Neutral,None of the above,RT @mozgovaya: 10 men on stage discussing one woman. @HillaryClinton #GOPdebates,8/6/15 21:06
No candidate mentioned,Negative,FOX News or Moderators,"#GOPDebates dumb, dumb questions. Get on with it.",8/6/15 21:06
John Kasich,Negative,None of the above,RT @jesslstoner: KASICH'S DAD WAS A MAILMAN BUT HE HATES UNIONS. Which have protected letter carriers for decades. #gopdebates,8/6/15 21:06
No candidate mentioned,Negative,Racial issues,My mom just texted me black lives don't matter and neither does Black Republican lives #GOPDebates,8/6/15 21:06
Chris Christie,Neutral,None of the above,RT @RWSurferGirl: Breaking: Brian Williams just handed Chris Christie a donut to calm him down. ________ #GOPDebate #GOPDebates,8/6/15 21:06
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: I'm really really really pissed off at FOX News for what they did to @realDonaldTrump #GOPDebate  #GOPDebates ________,8/6/15 21:06
Donald Trump,Positive,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:06
Donald Trump,Negative,FOX News or Moderators,RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead ________ #GOPD_ _,8/6/15 21:06
No candidate mentioned,Neutral,FOX News or Moderators,Drink every time @HillaryClinton is mentioned during the #GOPDebates #FOXNEWSDEBATE http://t.co/oPZtAeEGZO,8/6/15 21:06
No candidate mentioned,Neutral,FOX News or Moderators,Why has no one mentioned #Cecil ? #CecilTheLion #GOPDebate #GOPDebates @megynkelly,8/6/15 21:06
No candidate mentioned,Negative,None of the above,10 men on stage discussing one woman. @HillaryClinton #GOPdebates,8/6/15 21:06
No candidate mentioned,Neutral,None of the above,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",8/6/15 21:06
Jeb Bush,Negative,Healthcare (including Medicare),"RT @SupermanHotMale: Hey Jeb Bush, you have nothing to replace ObamaCare with and you give us a break, you fu***ng Asshole. #GopDebates",8/6/15 21:06
Jeb Bush,Negative,None of the above,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. ________ #GOPDebate  #GOPDebates,8/6/15 21:06
Jeb Bush,Negative,None of the above,"Someone here just said, ""Jeb looks more like a vice-president."" #GOPDebates",8/6/15 21:06
